[2025-04-14T05:49:14.754Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1656 | Qtd: 250.00000000
[2025-04-14T05:52:14.793Z] 📤 VENDA | DOGEUSDT | Preço: 0.1656 | Lucro: 0.01
[2025-04-14T05:53:20.776Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1656 | Qtd: 250.00000000
[2025-04-14T05:58:03.747Z] 📤 VENDA | DOGEUSDT | Preço: 0.1659 | Lucro: 0.06
[2025-04-14T05:59:01.727Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1659 | Qtd: 250.00000000
[2025-04-14T06:00:17.730Z] 📤 VENDA | DOGEUSDT | Preço: 0.1659 | Lucro: -0.01
[2025-04-14T06:01:06.691Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1659 | Qtd: 250.00000000
[2025-04-14T06:02:02.726Z] 📤 VENDA | DOGEUSDT | Preço: 0.1658 | Lucro: -0.02
[2025-04-14T06:12:10.727Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T06:15:47.762Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: 0.00
[2025-04-14T06:17:44.755Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T06:18:51.734Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: -0.00
[2025-04-14T06:18:55.652Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T06:22:39.724Z] 📤 VENDA | DOGEUSDT | Preço: 0.1649 | Lucro: -0.05
[2025-04-14T06:25:07.722Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1651 | Qtd: 250.00000000
[2025-04-14T06:26:05.722Z] 📤 VENDA | DOGEUSDT | Preço: 0.1649 | Lucro: -0.05
[2025-04-14T06:33:44.725Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1645 | Qtd: 250.00000000
[2025-04-14T06:41:23.779Z] 📤 VENDA | DOGEUSDT | Preço: 0.1649 | Lucro: 0.10
[2025-04-14T06:41:36.741Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1650 | Qtd: 250.00000000
[2025-04-14T06:47:39.867Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: 0.04
[2025-04-14T06:47:50.778Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1652 | Qtd: 250.00000000
[2025-04-14T06:51:16.733Z] 📤 VENDA | DOGEUSDT | Preço: 0.1651 | Lucro: -0.01
[2025-04-14T06:58:45.823Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1648 | Qtd: 250.00000000
[2025-04-14T07:00:03.737Z] 📤 VENDA | DOGEUSDT | Preço: 0.1648 | Lucro: -0.01
[2025-04-14T07:07:01.780Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1643 | Qtd: 250.00000000
[2025-04-14T07:12:42.731Z] 📤 VENDA | DOGEUSDT | Preço: 0.1646 | Lucro: 0.07
[2025-04-14T07:18:47.728Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1635 | Qtd: 250.00000000
[2025-04-14T07:21:56.718Z] 📤 VENDA | DOGEUSDT | Preço: 0.1634 | Lucro: -0.02
[2025-04-14T07:22:14.708Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1634 | Qtd: 250.00000000
[2025-04-14T07:25:58.743Z] 📤 VENDA | DOGEUSDT | Preço: 0.1637 | Lucro: 0.06
[2025-04-14T07:28:13.738Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
[2025-04-14T07:33:33.709Z] 📤 VENDA | DOGEUSDT | Preço: 0.1638 | Lucro: 0.01
[2025-04-14T07:34:18.698Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1639 | Qtd: 250.00000000
[2025-04-14T07:35:44.732Z] 📤 VENDA | DOGEUSDT | Preço: 0.1637 | Lucro: -0.05
[2025-04-14T07:36:52.699Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1639 | Qtd: 250.00000000
[2025-04-14T07:42:52.698Z] 📤 VENDA | DOGEUSDT | Preço: 0.1640 | Lucro: 0.04
[2025-04-14T07:43:46.682Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1641 | Qtd: 250.00000000
[2025-04-14T07:46:27.695Z] 📤 VENDA | DOGEUSDT | Preço: 0.1641 | Lucro: 0.00
[2025-04-14T07:47:54.701Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1643 | Qtd: 250.00000000
[2025-04-14T07:48:44.700Z] 📤 VENDA | DOGEUSDT | Preço: 0.1641 | Lucro: -0.04
[2025-04-14T07:52:32.845Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1641 | Qtd: 250.00000000
[2025-04-14T08:03:13.690Z] 📤 VENDA | DOGEUSDT | Preço: 0.1644 | Lucro: 0.08
[2025-04-14T08:04:16.688Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1647 | Qtd: 250.00000000
[2025-04-14T08:07:24.698Z] 📤 VENDA | DOGEUSDT | Preço: 0.1646 | Lucro: -0.02
[2025-04-14T08:07:52.725Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1647 | Qtd: 250.00000000
[2025-04-14T08:08:28.715Z] 📤 VENDA | DOGEUSDT | Preço: 0.1646 | Lucro: -0.02
[2025-04-14T08:12:58.698Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1642 | Qtd: 250.00000000
[2025-04-14T08:13:58.812Z] 📤 VENDA | DOGEUSDT | Preço: 0.1635 | Lucro: -0.16
[2025-04-14T08:19:21.690Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
[2025-04-14T08:21:27.916Z] 📤 VENDA | DOGEUSDT | Preço: 0.1636 | Lucro: -0.03
[2025-04-14T08:21:56.670Z] 📥 COMPRA | DOGEUSDT | Preço: 0.1638 | Qtd: 250.00000000
